cluster,trip_distance,trip_duration_minutes,DOLocationID,tip_given,cluster
0,11.546168341708542,35.8901067839196,206.6677135678392,1.0,0.0
1,8.945963875205255,24.41833059660646,240.67619047619047,1.0,1.0
2,8.695113636363637,26.74004010695187,67.6403743315508,1.0,2.0
3,9.788760563380283,33.582347417840374,161.5943661971831,0.0,3.0
4,9.615666666666666,44.93303212851406,180.95301204819276,1.0,4.0
5,9.14120341880342,24.156245014245012,151.21504273504274,1.0,5.0
6,12.105604801477378,38.53876577408433,79.97414589104339,1.0,6.0
